Country Name,GDP (U$dollor),Latitude,Longitude,GDP (millions)
Lao PDR,18173839128,19.85627,102.495496,18174
Latvia,34117202555,56.879635,24.603189,34117
Lebanon,53367042272,33.854721,35.862285,53367
Lesotho,2460072444,-29.609988,28.233608,2460
Liberia,3070518100,6.428055,-9.429499,3071
Libya,52076250948,26.3351,17.228331,52076
Lithuania,54219315600,55.169438,23.881275,54219
Luxembourg,71104919108,49.815273,6.129583,71105
Madagascar,14083906357,-18.766947,46.869107,14084
Malawi,7666704427,-13.254308,34.301525,7667
Malaysia,364701517788,4.210484,101.975766,364702
Maldives,5729248472,3.202778,73.22068,5729
Mali,17510141171,17.570692,-3.996166,17510
Malta,14786156563,35.937496,14.375416,14786
Mauritania,7593752450,21.00789,-10.940835,7594
Mauritius,14180444557,-20.348404,57.552152,14180
Mexico,1258286717125,23.634501,-102.552784,1258287
Moldova,11955435457,47.411631,28.369885,11955
Mongolia,13852850259,46.862496,103.846656,13853
Montenegro,5494736901,42.708678,19.37439,5495
Morocco,118725279596,31.791702,-7.09262,118725
Mozambique,14934159926,-18.665695,35.529562,14934
Myanmar,76085852617,21.913965,95.956223,76086
Namibia,12366527719,-22.95764,18.49041,12367
Nauru,118223430,-0.522778,166.931503,118
Nepal,30641380604,28.394857,84.124008,30641
Netherlands,909070395161,52.132633,5.291266,909070
New Zealand,206928765544,-40.900557,174.885971,206929
Nicaragua,12520915291,12.865416,-85.207229,12521
Niger,12928145120,17.607789,8.081666,12928
Nigeria,448120428859,9.081999,8.675277,448120
Norway,403336363636,60.472024,8.468946,403336
Oman,76983094928,21.512583,55.923255,76983
Pakistan,278221906023,30.375321,69.345116,278222
Panama,66800800000,8.537981,-80.782127,66801
Papua New Guinea,24969611435,-6.314993,143.95555,24970
Paraguay,38145288940,-23.442503,-58.443832,38145
Peru,226848050820,-9.189967,-75.015152,226848
Philippines,376795508680,12.879721,121.774017,376796
Poland,592164400688,51.919438,19.145136,592164
Portugal,237686075635,39.399872,-8.224454,237686
Puerto Rico,104988600000,18.220833,-66.590149,104989
Qatar,183466208791,25.354826,51.183884,183466
Romania,250077444017,45.943161,24.96676,250077
Russia,1699876578871,61.52401,105.318756,1699877
Rwanda,10122472590,-1.940278,29.873888,10122
Samoa,850655017,-13.759029,-172.104629,851
Sao Tome and Principe,429016605,0.18636,6.613081,429
Saudi Arabia,792966838162,23.885942,45.079162,792967
Senegal,23578084052,14.497401,-14.452362,23578
Serbia,51409167351,44.016521,21.005859,51409
Seychelles,1698843063,-4.679574,55.491977,1699
Sierra Leone,3941474311,8.460555,-11.779889,3941
Singapore,372062527489,1.352083,103.819836,372063
Slovak Republic,105422304976,48.669026,19.699024,105422
Slovenia,53742159517,46.151241,14.995463,53742
Small states,525221276647,-9.64571,160.156194,525221
Solomon Islands,1425074226,5.152149,46.199616,1425
South Africa,351431649241,-30.559482,22.937506,351432
South Asia,3597970348648,-54.429579,-36.587909,3597970
Spain,1394116310769,40.463667,-3.74922,1394116
Sri Lanka,84008783756,7.873054,80.771797,84009
Sudan,18902284476,12.862807,30.217636,18902
Suriname,3985250737,3.919305,-56.027783,3985
Sweden,530832908738,60.128161,18.643501,530833
Switzerland,703082435360,46.818188,8.227512,703082
Tajikistan,8116626794,38.861034,71.276093,8117
Tanzania,63177068175,-6.369028,34.888822,63177
Thailand,543649976166,15.870032,100.992541,543650
Timor-Leste,1673540300,-8.874217,125.727539,1674
Togo,5459979417,8.619543,0.824782,5460
Trinidad and Tobago,24100202834,10.691803,-61.222503,24100
Tunisia,38797709924,33.886917,9.537499,38798
Turkey,754411708203,38.963745,35.243322,754412
Tuvalu,47271463,-7.109535,177.64933,47
Uganda,34387229486,1.373333,32.290275,34387
Ukraine,153781069118,48.379433,31.16558,153781
United Arab Emirates,421142267938,23.424076,53.847818,421142
United Kingdom,2827113184696,55.378051,-3.435973,2827113
United States of America,21374418877707,37.09024,-95.712891,21374419
Uruguay,56045912952,-32.522779,-55.765835,56046
Uzbekistan,57921286440,41.377491,64.585262,57921
Vanuatu,917058851,-15.376706,166.959158,917
Vietnam,261921244843,14.058324,108.277199,261921
Zambia,23064722446,-13.133897,27.849332,23065
Zimbabwe,21440758800,-19.015438,29.154857,21441
